"comp","KW_pvalue","aov_pvalue","Age_group","Metrics","KW_padj","aov_padj"
"N - Y",0.0074,0.0051,"Week3","Faith_PD",0.1184,0.0816
"N - Y",0.0074,0.0051,"Week3","Faith_PD",0.1184,0.0816
"N - Y",0.3881,0.4951,"Week6","Faith_PD",0.838171428571429,0.849066666666667
"N - Y",0.3881,0.4951,"Week6","Faith_PD",0.838171428571429,0.849066666666667
"N - Y",0.713,0.781,"Week9-14","Faith_PD",0.838171428571429,0.931771428571429
"N - Y",0.713,0.781,"Week9-14","Faith_PD",0.838171428571429,0.931771428571429
"N - Y",0.6096,0.59,"Week18","Faith_PD",0.838171428571429,0.849066666666667
"N - Y",0.6096,0.59,"Week18","Faith_PD",0.838171428571429,0.849066666666667
"N - Y",0.0156,0.0129,"Week3","Observed_ASVs",0.1248,0.1032
"N - Y",0.0156,0.0129,"Week3","Observed_ASVs",0.1248,0.1032
"N - Y",0.4434,0.6368,"Week6","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.4434,0.6368,"Week6","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.5575,0.6261,"Week9-14","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.5575,0.6261,"Week9-14","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.6286,0.5601,"Week18","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.6286,0.5601,"Week18","Observed_ASVs",0.838171428571429,0.849066666666667
"N - Y",0.1871,0.247,"Week3","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.1871,0.247,"Week3","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.3881,0.5894,"Week6","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.3881,0.5894,"Week6","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.5761,0.5654,"Week9-14","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.5761,0.5654,"Week9-14","Shannon_Index",0.838171428571429,0.849066666666667
"N - Y",0.83,0.8153,"Week18","Shannon_Index",0.8419,0.931771428571429
"N - Y",0.83,0.8153,"Week18","Shannon_Index",0.8419,0.931771428571429
"N - Y",0.8419,0.8998,"Week3","Pielou_evenness",0.8419,0.959786666666667
"N - Y",0.8419,0.8998,"Week3","Pielou_evenness",0.8419,0.959786666666667
"N - Y",0.5659,0.596,"Week6","Pielou_evenness",0.838171428571429,0.849066666666667
"N - Y",0.5659,0.596,"Week6","Pielou_evenness",0.838171428571429,0.849066666666667
"N - Y",0.7334,0.5789,"Week9-14","Pielou_evenness",0.838171428571429,0.849066666666667
"N - Y",0.7334,0.5789,"Week9-14","Pielou_evenness",0.838171428571429,0.849066666666667
"N - Y",0.6674,0.9758,"Week18","Pielou_evenness",0.838171428571429,0.9758
"N - Y",0.6674,0.9758,"Week18","Pielou_evenness",0.838171428571429,0.9758
