fo,BirthMode,Age_group,Sex,Variable,Df,SumOfSqs,R2,Omega2_partial,F,Pr(>F),padj
BirthMode + Age_group + Sex,All,All,All,BirthMode,2,1.1171310023928,0.0177083458669697,0.0128593494217048,2.82376130289437,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Age_group,3,6.96009151006195,0.110328786383998,0.103098543414966,11.7286376313493,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Sex,1,1.02470699272813,0.0162432747821566,0.0147099720769542,5.18028404309484,0.001,0.041
BirthMode + Sex,All,Week3,All,BirthMode,2,0.573967156807303,0.0309307974316653,0.00868991727333544,1.39885727263987,0.06,1
BirthMode + Sex,All,Week3,All,Sex,1,0.134605499477832,0.00725382173554357,-0.00379330417512081,0.656113785078833,0.86,1
BirthMode,All,Week3,M,BirthMode,2,0.51240199910445,0.0557856264432939,0.0105850711239193,1.24071205450551,0.135,1
BirthMode,All,Week3,F,BirthMode,2,0.348169265854136,0.0376915979948389,-0.00691224144677512,0.842109821758254,0.735,1
Sex,CS,Week3,All,Sex,1,0.0779994549160037,0.0142782388905696,-0.022770839905427,0.376611560991599,0.999,1
Sex,CSR,Week3,All,Sex,1,0.183198698554588,0.037657822496633,-0.00234571087792178,0.9391542437264,0.512,1
Sex,VF,Week3,All,Sex,1,0.16001145415852,0.0209014790891718,-0.0068802933638246,0.747168699060511,0.748,1
BirthMode + Sex,All,Week6,All,BirthMode,2,0.292244299612214,0.021594678951699,-0.00546486592472359,0.798898951055033,0.744,1
BirthMode + Sex,All,Week6,All,Sex,1,0.43760876475814,0.0323360311696107,0.0184707143628405,2.39255433622942,0.01,0.26
BirthMode,All,Week6,M,BirthMode,2,0.226224671438549,0.0438454462697951,-0.0120597914636005,0.779552409888785,0.778,1
BirthMode,All,Week6,F,BirthMode,2,0.331010031756716,0.0417101414031441,-0.0142579889205947,0.739935205921605,0.83,1
Sex,CS,Week6,All,Sex,1,0.147480823497542,0.0363997960692267,-0.0112387319093245,0.755495814980997,0.755,1
Sex,CSR,Week6,All,Sex,1,0.350162838731703,0.104046044039457,0.0567079601786059,2.32257569370091,0.02,0.48
Sex,VF,Week6,All,Sex,1,0.204955506111938,0.0351929612125991,0.000711065505728807,1.02134714438989,0.423,1
BirthMode + Sex,All,Week9-14,All,BirthMode,2,0.879779936613067,0.0613357616925657,0.03509835424866,2.27312706337706,0.002,0.06
BirthMode + Sex,All,Week9-14,All,Sex,1,0.706762732684338,0.0492734929964407,0.0365052926298581,3.65218943554443,0.001,0.041
BirthMode,All,Week9-14,M,BirthMode,2,0.535472876489863,0.0809158158763364,0.0245305430758425,1.45265361435042,0.04,0.84
BirthMode,All,Week9-14,F,BirthMode,2,0.645518122624409,0.0917674260613477,0.0322275781850847,1.5661132894436,0.048,0.96
Sex,CS,Week9-14,All,Sex,1,0.301892586529927,0.0934665467470378,0.0460524689011984,2.0620650327166,0.011,0.275
Sex,CSR,Week9-14,All,Sex,1,0.451596794619753,0.135960414543935,0.0839294186784586,2.83237886664541,0.006,0.162
Sex,VF,Week9-14,All,Sex,1,0.254484414035867,0.0367357300570582,-0.000301717491546328,0.991554458404328,0.423,1
BirthMode + Sex,All,Week18,All,BirthMode,2,0.490123215780343,0.0504641287321622,0.00744958954884436,1.16887380538467,0.233,1
BirthMode + Sex,All,Week18,All,Sex,1,0.632069664037653,0.0650792369484202,0.0428544191699938,3.01479158580812,0.003,0.087
BirthMode,All,Week18,M,BirthMode,2,0.493366054685063,0.113030805129709,0.023300542472822,1.27434871225983,0.116,1
BirthMode,All,Week18,F,BirthMode,2,0.336096221808226,0.0711895584202526,-0.0253411649759593,0.728136522498745,0.827,1
Sex,CS,Week18,All,Sex,1,0.308656903816532,0.105125401884349,0.0387301701981578,1.64465013252134,0.093,1
Sex,CSR,Week18,All,Sex,1,0.196455466059664,0.111835978890124,0.000733988481267666,1.00734527616077,0.436,1
Sex,VF,Week18,All,Sex,1,0.466296354874408,0.102816008088024,0.04753195508125,1.94817579588278,0.021,0.483
Age_group + Sex,CS,All,All,Age_group,3,2.32813831522303,0.129278613651393,0.0987166842254014,4.21285144555953,0.001,0.041
Age_group + Sex,CS,All,All,Sex,1,0.391184655952634,0.0217219954985401,0.0126070869517248,2.12358883387848,0.005,0.14
Age_group + Sex,CSR,All,All,Age_group,3,2.32868950433304,0.149080857572733,0.118209979588637,4.48547771936768,0.001,0.041
Age_group + Sex,CSR,All,All,Sex,1,0.675514014090094,0.0432458721248858,0.0358882799192101,3.90348698744562,0.001,0.041
Age_group + Sex,VF,All,All,Age_group,3,3.40836014178905,0.120287115217394,0.0960564579411761,5.03802365073721,0.001,0.041
Age_group + Sex,VF,All,All,Sex,1,0.361470167791687,0.0127569276461456,0.00526083878760055,1.60290742052972,0.057,1
Age_group + BirthMode,All,All,M,Age_group,3,3.64764683185034,0.125922443881955,0.108118755972443,6.69759882802045,0.001,0.041
Age_group + BirthMode,All,All,M,BirthMode,2,0.819422520751804,0.028287740327272,0.0175156007341035,2.25686459009117,0.001,0.041
Age_group + BirthMode,All,All,F,Age_group,3,4.18458291541491,0.126375064312997,0.107351149352583,6.57210887916586,0.001,0.041
Age_group + BirthMode,All,All,F,BirthMode,2,0.700856050857706,0.0211659633209857,0.00928135541256269,1.65109726630988,0.026,0.572
