comp,Df,SumOfSqs,R2,F,Pr(>F),padj
Week3 - Week6,1,1.27844233430406,0.0621703317837155,10.8055486237918,0.001,0.006
Week3 - Week9-14,1,1.71125538081043,0.0826590312179084,14.3270456797503,0.001,0.006
Week3 - Week18,1,1.46019688682981,0.0845166121990588,12.3707608303826,0.001,0.006
Week6 - Week9-14,1,0.283103787090109,0.01639052194535,2.36623799197509,0.002,0.006
Week6 - Week18,1,0.472568536134952,0.0330759191386462,4.00226100044405,0.001,0.006
Week9-14 - Week18,1,0.184521177405224,0.0134632279046572,1.54210648427734,0.04,0.04
CS - CSR,1,0.199964199568531,0.00992108519593834,1.64336190560718,0.023,0.026
CS - VF,1,0.23602033294847,0.0089165432697905,1.79935265980688,0.013,0.026
CSR - VF,1,0.373269290813725,0.0152702707520666,2.94634289665297,0.001,0.003
